"Börsdata ID";"Bolagsnamn";"Info - Ticker";"Info - Rapport";"F-Score - Poäng";"Kursutveck. - Utveck.  3m";"Kursutveck. - Utveck.  6m";"Kursutveck. - Utveck.  1år";"Börsvärde - Senaste";"Info - Sektor";"Info - Bransch"
"141";"Midsona B";"MSON B";"Q4-2025";"6";"31,6%";"42,4%";"29,2%";"1665";"Dagligvaror";"Hälsoprodukter"
"219";"Swedish Orphan Biovitrum";"SOBI";"Q4-2025";"6";"12,9%";"41,3%";"22,7%";"138390";"Hälsovård";"Läkemedel"
"1354";"Maha Capital";"MAHA A";"Q4-2025";"2";"30,2%";"41,1%";"101,1%";"1892";"Energi";"Olja & Gas - Exploatering"
"1437";"Instalco";"INSTAL";"Q4-2025";"6";"38,9%";"40,2%";"-1,0%";"8982";"Industri";"Installation & VVS"
"1439";"Munters";"MTRS";"Q4-2025";"6";"-3,8%";"40,0%";"27,1%";"31395";"Industri";"Installation & VVS"
"2193";"Revolutionrace";"RVRC";"Q2-2026";"7";"2,5%";"38,8%";"49,5%";"7003";"Sällanköpsvaror";"Kläder & Skor"
"77";"Ericsson B";"ERIC B";"Q4-2025";"8";"15,6%";"38,6%";"18,7%";"352812";"Informationsteknik";"Kommunikation"
"380";"Scandi Standard";"SCST";"Q4-2025";"8";"32,4%";"33,5%";"51,4%";"8482";"Dagligvaror";"Livsmedel"
"357";"Wise Group";"WISE";"Q4-2025";"2";"50,0%";"29,9%";"1,6%";"143";"Industri";"Bemanning"
"170";"Orexo";"ORX";"Q4-2025";"3";"4,9%";"28,9%";"52,5%";"962";"Hälsovård";"Läkemedel"
"223";"Telia Company";"TELIA";"Q4-2025";"6";"19,6%";"28,6%";"31,2%";"180523";"Telekommunikation";"Bredband & Telefoni"
"193";"Saab";"SAAB B";"Q4-2025";"7";"35,7%";"28,3%";"103,1%";"352710";"Industri";"Militär & Försvar"
"405";"Hexatronic";"HTRO";"Q4-2025";"5";"42,6%";"28,2%";"-7,3%";"6012";"Industri";"Elektroniska komponenter"
"74";"Eniro";"ENRO";"Q4-2025";"6";"30,3%";"28,0%";"-11,7%";"382";"Sällanköpsvaror";"Marknadsföring"
"741";"Coor Service Management";"COOR";"Q4-2025";"8";"24,3%";"27,7%";"77,2%";"5739";"Industri";"Stödtjänster & Service"
"595";"Lundin Gold";"LUG";"Q4-2025";"8";"7,6%";"27,5%";"165,9%";"194112";"Material";"Gruv - Guld & Silver"
"70";"Electrolux B";"ELUX B";"Q4-2025";"7";"11,2%";"27,3%";"-24,8%";"19538";"Sällanköpsvaror";"Hemelektronik"
"1443";"International Petroleum";"IPCO";"Q4-2025";"4";"13,2%";"27,0%";"40,1%";"24280";"Energi";"Olja & Gas - Exploatering"
